,F1,ER
1,0.47177914110429436,0.7960687960687961
2,0.4588235294117646,0.7481572481572482
3,0.4733619105939986,0.8452088452088451
4,0.44554762643499835,0.8378378378378379
AVR,0.462378051886264,0.8068181818181819
